genome	cluster	size	extended_phylogeny	succinct_phylogeny	final_representative	rep_accession	ecogenomics_classificaion	final_classification	updated_classification	initial_classification	accession	genome_extended	genome_type	is_95ANI_rep	new_isolate	existing_isolate	isolate_origin
GCA_902591025_1_AG_914_L04	cluster_000144	2	include	excluded_only2_SAGs_clustered	GCA_902575785.1_AG-426-B11	GCA_902575785.1		NA	NA	Ia.4	GCA_902591025.1	GCA_902591025.1_AG-914-L04	SAG	NA	NA	NA	NA
GCA_902592985_1_AG_447_E07	cluster_000091	1	include	excluded_no_90_or_greater	GCA_902592985.1_AG-447-E07	GCA_902592985.1		NA	NA	Ia	GCA_902592985.1	GCA_902592985.1_AG-447-E07	SAG	NA	NA	NA	NA
GCA_902594235_1_AG_447_K09	cluster_000296	1	include	excluded_no_90_or_greater	GCA_902594235.1_AG-447-K09	GCA_902594235.1		NA	NA	Ia.4	GCA_902594235.1	GCA_902594235.1_AG-447-K09	SAG	NA	NA	NA	NA
GCA_902594915_1_AG_447_L14	cluster_000246	1	include	excluded_no_90_or_greater	GCA_902594915.1_AG-447-L14	GCA_902594915.1		NA	NA	Ia.4	GCA_902594915.1	GCA_902594915.1_AG-447-L14	SAG	NA	NA	NA	NA
GCA_902595125_1_AG_447_N08	cluster_000061	1	include	excluded_no_90_or_greater	GCA_902595125.1_AG-447-N08	GCA_902595125.1		NA	NA	Ia.4	GCA_902595125.1	GCA_902595125.1_AG-447-N08	SAG	NA	NA	NA	NA
GCA_902597895_1_AG_916_I17	cluster_000199	1	include	excluded_only2_SAGs_clustered	GCA_902597895.1_AG-916-I17	GCA_902597895.1		NA	NA	Ib	GCA_902597895.1	GCA_902597895.1_AG-916-I17	SAG	NA	NA	NA	NA
GCA_902608975_1_AG_470_D16	cluster_000305	1	include	excluded_no_90_or_greater	GCA_902608975.1_AG-470-D16	GCA_902608975.1		NA	NA	Ia	GCA_902608975.1	GCA_902608975.1_AG-470-D16	SAG	NA	NA	NA	NA
GCA_902610655_1_AG_470_L20	cluster_000307	1	include	excluded_no_90_or_greater	GCA_902610655.1_AG-470-L20	GCA_902610655.1		NA	NA	Ib	GCA_902610655.1	GCA_902610655.1_AG-470-L20	SAG	NA	NA	NA	NA
GCA_902612345_1_AG_891_D10	cluster_000124	1	include	excluded_no_90_or_greater	GCA_902612345.1_AG-891-D10	GCA_902612345.1		NA	Ib.3	Ib.3	GCA_902612345.1	GCA_902612345.1_AG-891-D10	SAG	NA	NA	NA	NA
GCA_902616645_1_AG_892_C18	cluster_000287	1	include	excluded_no_90_or_greater	GCA_902616645.1_AG-892-C18	GCA_902616645.1		NA	NA	Ia.4	GCA_902616645.1	GCA_902616645.1_AG-892-C18	SAG	NA	NA	NA	NA
GCA_902618455_1_AG_920_C09	cluster_000237	1	include	excluded_no_90_or_greater	GCA_902618455.1_AG-920-C09	GCA_902618455.1		NA	NA	Ia.4	GCA_902618455.1	GCA_902618455.1_AG-920-C09	SAG	NA	NA	NA	NA
GCA_902618855_1_AG_892_L05	cluster_000039	1	include	excluded_no_90_or_greater	GCA_902618855.1_AG-892-L05	GCA_902618855.1		NA	NA	Ia	GCA_902618855.1	GCA_902618855.1_AG-892-L05	SAG	NA	NA	NA	NA
GCA_902619925_1_AG_920_I23	cluster_000168	2	include	excluded_only2_SAGs_clustered	GCA_902619925.1_AG-920-I23	GCA_902619925.1		NA	Ib_6	Ib	GCA_902619925.1	GCA_902619925.1_AG-920-I23	SAG	NA	NA	NA	NA
GCA_902623975_1_AG_893_P10	cluster_000306	1	include	excluded_no_90_or_greater	GCA_902623975.1_AG-893-P10	GCA_902623975.1		NA	NA	Ia.4	GCA_902623975.1	GCA_902623975.1_AG-893-P10	SAG	NA	NA	NA	NA
GCA_902626575_1_AH_321_D13	cluster_000053	1	include	excluded_no_90_or_greater	GCA_902626575.1_AH-321-D13	GCA_902626575.1		NA	NA	Ib.5	GCA_902626575.1	GCA_902626575.1_AH-321-D13	SAG	NA	NA	NA	NA
GCA_902627565_1_AH_321_K15	cluster_000157	1	include	excluded_no_90_or_greater	GCA_902627565.1_AH-321-K15	GCA_902627565.1		NA	NA	Ia.4	GCA_902627565.1	GCA_902627565.1_AH-321-K15	SAG	NA	NA	NA	NA
GCA_902627935_1_AH_321_N11	cluster_000337	1	include	excluded_no_90_or_greater	GCA_902627935.1_AH-321-N11	GCA_902627935.1		NA	NA	Ia.3.III	GCA_902627935.1	GCA_902627935.1_AH-321-N11	SAG	NA	NA	NA	NA
GCA_902629575_1_AH_324_K07	cluster_000050	1	include	excluded_no_90_or_greater	GCA_902629575.1_AH-324-K07	GCA_902629575.1		NA	NA	Ia.3.III	GCA_902629575.1	GCA_902629575.1_AH-324-K07	SAG	NA	NA	NA	NA
GCA_902629585_1_AH_324_K11	cluster_000234	1	include	excluded_no_90_or_greater	GCA_902629585.1_AH-324-K11	GCA_902629585.1		NA	NA	Ia.3.III	GCA_902629585.1	GCA_902629585.1_AH-324-K11	SAG	NA	NA	NA	NA
GCA_902634305_1_AG_439_B12	cluster_000084	1	include	excluded_no_90_or_greater	GCA_902634305.1_AG-439-B12	GCA_902634305.1		NA	NA	Ib	GCA_902634305.1	GCA_902634305.1_AG-439-B12	SAG	NA	NA	NA	NA
GCA_902634455_1_AG_439_I19	cluster_000239	1	include	excluded_no_90_or_greater	GCA_902634455.1_AG-439-I19	GCA_902634455.1		NA	NA	Ib	GCA_902634455.1	GCA_902634455.1_AG-439-I19	SAG	NA	NA	NA	NA
GCA_902634485_1_AG_439_C22	cluster_000213	1	include	excluded_no_90_or_greater	GCA_902634485.1_AG-439-C22	GCA_902634485.1		NA	NA	Ia	GCA_902634485.1	GCA_902634485.1_AG-439-C22	SAG	NA	NA	NA	NA
GCA_902576855_1_AG_426_E17	cluster_000219	3	include	include	GCA_902576855.1_AG-426-E17	GCA_902576855.1	Ib.4.I	tbd	NA	Ib	GCA_902576855.1	GCA_902576855.1_AG-426-E17	SAG	TRUE	NA	NA	NA
GCA_902596495_1_AG_916_A21	cluster_000219	3	include	excluded_not_95_rep	GCA_902576855.1_AG-426-E17	GCA_902576855.1		tbd	NA	Ib	GCA_902596495.1	GCA_902596495.1_AG-916-A21	SAG	NA	NA	NA	NA
GCA_902599125_1_AG_916_M11	cluster_000219	3	include	excluded_not_95_rep	GCA_902576855.1_AG-426-E17	GCA_902576855.1		tbd	NA	Ib	GCA_902599125.1	GCA_902599125.1_AG-916-M11	SAG	NA	NA	NA	NA
